antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({317.0, 959.0})",frozenset({1051.0}),0.008000705944642174,0.08659587610671529,0.005912286378209842,0.7389705882352942,8.533554038123402,1.0,0.005219458237461348,3.499238333788359,0.8899356442398829,0.06666666666666668,0.7142235239183105,0.40362252237851665
"frozenset({57.0, 1483.0})",frozenset({959.0}),0.007324175662558461,0.0757419772332853,0.005353413536488514,0.7309236947791165,9.650179748118687,1.0,0.0047986659902024284,3.434929069685253,0.9029886345727284,0.06888720666161999,0.7088731732991415,0.40080165321480093
"frozenset({57.0, 317.0})",frozenset({1051.0}),0.006882960261199517,0.08659587610671529,0.005000441215401359,0.7264957264957265,8.389495656819026,1.0,0.004404405241375081,3.339633827984822,0.8869078751365488,0.05651595744680851,0.7005659747423828,0.3921201458565589
"frozenset({1384.0, 1135.0})",frozenset({589.0}),0.007500661823102038,0.04103303232638174,0.005235756096126129,0.6980392156862746,17.01164101482887,1.0,0.004927981197069525,3.1757996981399055,0.9483298246642233,0.12092391304347827,0.6851186803167375,0.41281889099725916
"frozenset({1163.0, 959.0})",frozenset({1051.0}),0.008353678265729329,0.08659587610671529,0.005824043297938054,0.6971830985915494,8.050996536282916,1.0,0.005100649209803597,3.0163578044848016,0.8831694874171071,0.06534653465346535,0.6684743439544296,0.38221926668707906
"frozenset({1421.0, 959.0})",frozenset({1051.0}),0.007765391063917404,0.08659587610671529,0.0050592699355825515,0.6515151515151515,7.523627923254282,1.0,0.004386819093091366,2.621072703345947,0.8738713522539174,0.05665349143610013,0.6184768172498827,0.3549695322793149
"frozenset({959.0, 1375.0})",frozenset({1051.0}),0.008000705944642174,0.08659587610671529,0.005206341736035533,0.6507352941176471,7.514622212675832,1.0,0.004513513595287039,2.615220228410247,0.873918072813928,0.05824284304047385,0.6176230249611196,0.3554287883631714
"frozenset({1051.0, 317.0})",frozenset({959.0}),0.009089037267994236,0.0757419772332853,0.005912286378209842,0.6504854368932038,8.588176076915824,1.0,0.005223864724384941,2.6444048984714335,0.8916652193792377,0.07491613865076406,0.6218430844013192,0.36427184466019413
"frozenset({5.0, 959.0})",frozenset({1051.0}),0.01303056152013413,0.08659587610671529,0.008441921346001118,0.6478555304740407,7.481367007311808,1.0,0.007313528455002652,2.593833505671315,0.8777724564428779,0.09258064516129035,0.6144702434394732,0.37267097175875946
"frozenset({808.0, 57.0})",frozenset({1051.0}),0.009677324469806159,0.08659587610671529,0.006235844339206401,0.6443768996960487,7.441196147746797,1.0,0.005397827948374583,2.5684611688965022,0.8740716788350622,0.06925841228356748,0.6106618187925987,0.35819388463063306
"frozenset({57.0, 618.0})",frozenset({1051.0}),0.008000705944642174,0.08659587610671529,0.00514751301585434,0.6433823529411765,7.429711227221868,1.0,0.004454684875105846,2.5612981618450874,0.8723849624060152,0.057546859585662614,0.6095729833813538,0.3514126438618926
"frozenset({683.0, 959.0})",frozenset({1051.0}),0.008853722387269464,0.08659587610671529,0.005588728417213283,0.6312292358803987,7.289368319370216,1.0,0.004822032570282045,2.476888660287196,0.8705212550607286,0.062193126022913256,0.5962676820991826,0.3478836396793298
"frozenset({196.0, 959.0})",frozenset({1051.0}),0.009647910109715564,0.08659587610671529,0.00608877253875342,0.6310975609756098,7.2878477515243905,1.0,0.0052533033102037646,2.4760045672479123,0.8711904455466782,0.06753670473083198,0.596123523668818,0.3507050304878049
"frozenset({808.0, 57.0})",frozenset({959.0}),0.009677324469806159,0.0757419772332853,0.00608877253875342,0.629179331306991,8.306877563667484,1.0,0.005355792849082247,2.492466307297125,0.8882133524343132,0.0767519466073415,0.5987909657705992,0.35478384041077704
"frozenset({808.0, 959.0})",frozenset({57.0}),0.009736153189987351,0.027884813365885226,0.00608877253875342,0.6253776435045317,22.427176947493212,1.0,0.005817281724148954,2.5949203772249354,0.9648047270845655,0.19309701492537318,0.6146317209665516,0.4218660369421393
"frozenset({1384.0, 589.0})",frozenset({1135.0}),0.008383092625819925,0.044474512456981495,0.005235756096126129,0.624561403508772,14.043130975587118,1.0,0.004862922138711071,2.5450912518669186,0.9366427718199901,0.10994441012970971,0.6070867795932806,0.3711431356168199
"frozenset({1483.0, 5.0})",frozenset({1051.0}),0.011118628114245374,0.08659587610671529,0.006794717180927729,0.6111111111111112,7.057046346618359,1.0,0.005831889838269895,2.3487534614398755,0.8679480488576535,0.07473309608540926,0.5742422453368257,0.3447878925120773
"frozenset({1384.0, 959.0})",frozenset({1051.0}),0.009324352148719005,0.08659587610671529,0.0056769714974850725,0.6088328075709779,7.030736738787547,1.0,0.0048695210540392175,2.3350734457594458,0.8658407997243179,0.06290743155149936,0.5717479457376272,0.33719493639418463
"frozenset({1384.0, 1051.0})",frozenset({959.0}),0.009383180868900196,0.0757419772332853,0.0056769714974850725,0.6050156739811913,7.98785159935478,1.0,0.004966270825737036,2.3399865814490637,0.8830961433902978,0.07145501666049611,0.5726471220271961,0.3399835651459354
"frozenset({1192.0, 959.0})",frozenset({1051.0}),0.009383180868900196,0.08659587610671529,0.005647557137394476,0.6018808777429467,6.950456589886875,1.0,0.004835012369384294,2.294298547416991,0.8642338222776491,0.0625203516769782,0.564136933649791,0.3335491345236473
"frozenset({1173.0, 959.0})",frozenset({1051.0}),0.009353766508809602,0.08659587610671529,0.005500485336941495,0.5880503144654088,6.79074271089691,1.0,0.004690487731213476,2.2172710793745383,0.8607923533492443,0.0608130081300813,0.5489951547638071,0.32578466810226964
